,Graphlet ID0,,,,Graphlet ID1,,,,Graphlet ID2,,,,Graphlet ID3,,,,Graphlet ID4,,,,Graphlet ID5,,
,Lift,Waddle,PSRW,,Lift,Waddle,PSRW,,Lift,Waddle,PSRW,,Lift,Waddle,PSRW,,Lift,Waddle,PSRW,,Lift,Waddle,PSRW
ia-email-univ,1133,5451,10**6,,,,,,,,,,,,,,,,,,,,
variance est.,7.90767335154,12.004446601,1.64443121587,,6.46981423209,4.97728388351,6.25285286412,,6.56302773685,8.56552268994,5.76441969584,,48.5678900653,30.6551257394,50.8750508751,,17.3073173148,21.6172353929,28.4859706595,,105.97097155,128.856251873,268.744961032
type count,,,610793,,,,158676,,,,172686,,,,19581,,,,34503,,,,3761
mixing- 1 step,0.0501824342425,0.035106067471,0.256523025341,,0.0358196623559,0.0146043574665,1.41399914671,,0.0106770457643,0.00359131202658,1.08246548127,,0.0569249215215,0.0157646638693,4.96596419755,,0.0691567944891,0.0294472581193,5.13456596455,,0.27159064518,0.0423398034306,19.728246121
mixing- 2 step,0.0384211860608,0.0119955609035,0.114570049441,,0.022355187305,0.00214773202751,0.470480663363,,0.00257248300442,0.00177877737199,0.213571320884,,0.00766353369007,0.0427319250982,0.684962606838,,0.0265908315492,0.00963873252,1.11301505255,,0.0453767087458,0.024953187499,2.10562261982
mixing- 3 step,0.018781639315,0.00125390804912,0.101226665601,,0.0195951785723,0.00299438175912,0.434508949397,,0.00375643261659,0.00497787286409,0.154689262064,,0.0118967034516,2.36132787309E-05,0.560724171873,,0.0217752716576,0.00460427152995,0.829817272905,,0.0213834350284,0.0663633047638,1.38338241787
mixing- 4 step,0.00861043310139,0.00152553485053,0.0924289777225,,0.0137874608963,0.00355432122658,0.39447111,,0.00244306377136,0.00184440564233,0.12056250489,,0.0293939738253,0.0204522023841,0.436485985383,,0.00339260356502,0.00738897792556,0.677263202153,,0.0830766533932,0.133655809098,1.67227458412
mixing- 5 step,0.00507134873703,0.00307596053363,0.0863543796468,,0.00874970298025,0.00113820089827,0.366358244503,,0.000518110549188,0.00643832871762,0.102318991891,,0.014180240816,0.0162207774859,0.519308883244,,0.00415644830811,0.0155254723876,0.562847458601,,0.00603824243401,0.00424103700457,0.155577042955
mixing- 6 step,0.0115878451063,0.000121455079355,0.082413360575,,0.00744406117167,0.000385075806817,0.34540036437,,0.00305047724841,0.0016761750624,0.0975994612711,,0.0198682188338,0.0073982077254,0.462365691005,,0.013893902743,0.0132857343199,0.519839232988,,0.017952919963,0.0767098862337,1.23892828179
mixing- 7 step,0.00903713220127,0.00100316096041,0.0803030506731,,0.010212722766,0.000327953753517,0.335233556032,,0.00218522902544,0.00401094341398,0.0885270281951,,0.0199735165185,0.0222518049702,0.340716230852,,0.000215292134991,0.0006257867308,0.443561821504,,0.036887257699,0.0423512953529,0.227798152528
mixing- 8 step,0.00416591203882,0.00131564286437,0.0766216424996,,0.00611602844357,0.00260590173507,0.319358475317,,0.00209686933414,0.00268987352498,0.0756001302495,,0.0438781019265,0.0162819062776,0.433891986738,,0.0114846203315,0.0136170569028,0.413536918696,,0.000813663776853,0.0682355563308,0.516690318775
mixing- 9 step,0.00727324538363,2.39599888413E-05,0.0743572070595,,0.00529160884631,6.24153131623E-07,0.301098457125,,0.00340639375358,0.00176475244106,0.0760974786709,,0.00828057428296,3.56130433706E-05,0.276007297019,,0.0165169543619,0.0357168443314,0.385134964001,,0.0522242723546,0.0320022084369,1.0222517361
mixing- 10 step,0.000520084103696,0.00107366605917,0.0728823820145,,0.00542962126692,0.00135186430482,0.289524202168,,0.00290847838488,0.00635862969599,0.0763622284478,,0.0330098516211,0.0288201886744,0.340712208679,,0.0122616393054,0.0139483768667,0.387567908519,,0.0368901470545,0.0301132366405,0.661133693504
mixing- 11 step,0.00222914502397,0.00277931500437,0.0706504043621,,0.000766180026661,0.00407927275031,0.281586063706,,0.00492843597562,0.00175579281904,0.0831729335156,,0.0257647174897,3.96129649172E-05,0.224239846607,,0.00611998939307,0.00716525607064,0.420835659745,,0.00261677245678,0.0766991190272,0.87780142788
mixing- 12 step,0.0018557163654,0.000384015262121,0.0685076672727,,0.00511749455693,0.00100381608665,0.272475008953,,0.00239682028275,0.00043569045001,0.0640988813739,,0.000409363176612,0.0171350167501,0.325180073247,,0.021218974529,0.0015978995549,0.391622341351,,0.105440680175,0.0527137273932,0.588907311589
